Month,Day,Artist,Album_Name,Record_Label,Year
July,20,"Sixko Raxks
","Raxks Jefe Vol. 1
",self-release,2018
July,27,"Dave East
","Karma 2
",Mass Appea,2018
July,27,"Denzel Curry
","Ta13oo
","Loma Vista, Universa",2018
July,27,"G Herbo and Southside
","Swervo
","Machine, Epic, Cinematic, 150 Dream Team, 808 Mafi",2018
July,27,"Jazz Cartier
","Fleurever
",Universal Music Canad,2018
July,27,"N.O.R.E.
","5E
","Militainment Business, Mas",2018
July,28,"Big Que
","Darkness Is Where I Came From
",Madness Record,2018
July,28,"Treyvon Rashad
","DREAMING
",DS,2018
August,28,"Nostrum Grocers
","Nostrum Grocers
",Ruby Yacht / The Order Labe,2018
August,28,"Mac Miller
","Swimming
","Warner Bros., REMembe",2018
August,28,"Travis Scott
","Astroworld
","Epic Records, Grand Hustle, Cactus Jac",2018
August,28,"YG
","Stay Dangerous
","4Hunnid Records, CTE World, Def Ja",2018
August,28,"YNW Melly
","I Am You
",300 Entertainmen,2018
August,10,"Nicki Minaj
","Queen
","Young Money, Cash Money, Republi",2018
August,10,"Trippie Redd
","Life's a Trip
","TenThousand Projects, Carolin",2018
August,12,"Dark Side Poet
","III: Broken Things
",Vestige / Real2Ree,2018
August,14,"Samurai Yola
","Y.W.N.B.S
",steady:hyperactiv,2018
August,15,"Aminé
","OnePointFive
",Republi,2018
August,15,"Bones
","LivingSucks
",TeamSES,2018
August,17,"T-Pain
","Everything Must Go Vol. 1
",Nappy Boy Entertainmen,2018
August,17,"YSL Records
","Slime Language
","YSL, 30",2018
August,22,"Doe Boy and TM88
","88 Birdz
","Freebandz, RBMG Record",2018
August,24,"Bas
","Milky Way
","Dreamville, Interscop",2018
August,24,"Binary Star
","Lighty
",Subterraneous Record,2018
August,24,"E-40
","The Gift of Gab
",Sick Wid It Record,2018
August,24,"Lex ""The Hex"" Master
","Shadow King
",Majik Ninja Entertainmen,2018
August,24,"Sadistik
","Salo Sessions II
",Self-release,2018
August,24,"YoungBoy Never Broke Again
","4Respect
",Never Broke Agai,2018
August,24,"Comethazine
","Bawskee
",Alam,2018
August,30,"YoungBoy Never Broke Again
","4Freedom
",Never Broke Agai,2018
August,30,"SahBabii
","Squidtastic
",Warner Bros,2018
August,31,"Blac Youngsta
","Fuck Everybody 2
","Epic, CM",2018
August,31,"Bun B
","Return of the Trill
",Rap-A-Lo,2018
August,31,"Currensy
","Fire In The Clouds
",Jet Lif,2018
August,31,"Alontae
","Role Model
",Self-release,2018
August,31,"Eminem
","Kamikaze
","Shady Records, Aftermath, Interscop",2018
August,31,"Jay
","Kid Behind The Mask
",DS,2018
August,31,"Skooly
","Don't You Ever Forget Me 3
",TR,2018
September,6,"YoungBoy Never Broke Again
","4Loyalty
",Never Broke Agai,2018
September,7,"Everlast
","Whitey Ford's House of Pain
",Martyr Inc,2018
September,7,"Russ
","Zoo
",Columbi,2018
September,7,"Suicideboys
","I Want to Die in New Orleans
",G*59 Record,2018
September,7,"Trill Sammy
","No Sleep Vol. 1
","Mad Love, Interscop",2018
September,7,"YBN Almighty Jay, YBN Cordae and YBN Nahmir
","YBN: The Mixtape
",Young Boss Nigga,2018
September,7,"YoungBoy Never Broke Again
","Decided
",Never Broke Agai,2018
September,10,"Octavian
","Spaceman
",Black Butter Limite,2018
September,14,"Bubba Sparxxx
","Rapper From the Country
",New South Entertainmen,2018
September,14,"Noname
","Room 25
",Self-release,2018
September,14,"6lack
","East Atlanta Love Letter
","LVRN, Interscop",2018
September,14,"YoungBoy Never Broke Again
","4 What Important
",Never Broke Agai,2018
September,14,"Marlo
","The Real 1
",Quality Contro,2018
September,14,"Kap G
","No Kap
",Atlanti,2018
September,14,"Skippa da Flippa
","Up to Something
","Havin' Entertainment, RBC, BMG Right",2018
September,14,"Killy
","Killstreak
",Secret Sound Clu,2018
September,14,"Innanet James
","Keep It Clean
","HighRes Global, Rostru",2018
September,14," Milo
","budding ornithologists are weary of tired analogies
",Ruby Yacht / The Order Labe,2018
September,14,"Brockhampton
","Iridescence
","Question Everything, RC",2018
September,14,"Lupe Fiasco
","Drogas Wave
","1st and 15th Productions, Inc",2018
September,14,"Machine Gun Kelly
","Binge
","Bad Boy, Interscop",2018
September,14,"Young Dolph
","Role Model
",Paper Route Empir,2018
September,27,"Chief Keef
","Cozart
","1017 Records, Interscop",2018
September,28,"Cypress Hill
","Elephants on Acid
",BMG Right,2018
September,28,"Lil Wayne
","Tha Carter V
","Young Money, Republi",2018
September,28,"Logic
","Young Sinatra IV
","Visionary, Def Ja",2018
September,28,"Blake
","A Drip Like This
",Atlanti,2018
September,28,"Good Gas and FKi 1st
","Good Gas, Vol. 2
",Mad Decen,2018
September,28,"Zoey Dollaz
","Who Don't Like Dollaz 2
",Epi,2018
September,28,"SOB X RBE
","Gangin 2
","SOB x RBE, Empir",2018
September,28,"Dom Kennedy
","Volume Two
",The Other Peoples Money Compan,2018
September,28,"Kevin Gates
","Luca Brasi 3
",Atlanti,2018
September,28,"Lil Gnar
","Gnar Lif3
","Ten Thousand Projects, LLC/Capitol Record",2018
October,3,"Cdot Honcho
","H4
",Honch,2018
October,4,"Rich Homie Quan
","The Gif
",Self-release,2018
October,4,"Soulja Boy
","Young Drako
","SODMG, Palm Tree Entertainmen",2018
October,5,"Atmosphere
","Mi Vida Local
",Rhymesayers Entertainmen,2018
October,5,"T.I.
","Dime Trap
","Grand Hustle, Epi",2018
October,5,"Warm Brew
","New Content
",Red Bull Record,2018
October,5,"Mozzy
","Gangland Landlord
","Mozzy Records, Empir",2018
October,5,"Sheck Wes
","Mudboy
","Cactus Jack, GOOD, Interscop",2018
October,5,"Lil Baby and Gunna
","Drip Harder
","Quality Control, YSL, Motown, Capitol, Wolfpack, 4 Pockets Ful",2018
October,6,"Fat Trel
","On the Run
","Maybach, Slutty Boy",2018
October,6,"Lil Tracy
","Designer Talk
",Self-release,2018
October,6,"Kodie Shane
","Stay Tuned
",,2018
October,10,"T-Pain
","Everything Must Go, Vol. 2
",Nappy Boy Entertainmen,2018
October,10,"Curtiss King
","The Vault: West Coast
",Curtiss King Beat,2018
October,10,"Ghostemane
","N/O/I/S/E
",Blackmag,2018
October,11,"Soulja Boy
","King
","SODMG, Palm Tre",2018
October,12,"Belly
","Immigrant
","Roc Nation, X",2018
October,12,"Knowmads
","Complex Animals
",Self-release,2018
October,12,"Quavo
","Quavo Huncho
","Quality Control, Motown, Capito",2018
October,12,"Usher and Zaytoven
","A
","Brand Usher, RC",2018
October,12,"Shy Glizzy
","Fully Loaded
",Glizzy Gan,2018
October,12,"BlocBoy JB and Empire Dott
","Empire Bloc
",Self-release,2018
October,12,"City Morgue
","City Morgue Vol 1: Hell or High Water
",Republi,2018
October,18,"Lil B
","Options
",Basedworld Record,2018
October,18,"YoungBoy Never Broke Again and VL Deck
","Kane & O-Dog
","VL Deck, Empir",2018
October,19,"Future and Juice Wrld
","WRLD on Drugs
","Epic, Freebandz, Grade A, Interscop",2018
October,19,"Khalid
","Suncity
","RCA, Right Han",2018
October,19,"Lil Mosey
","Northsbest
",Interscop,2018
October,19,"Lil Reese
","Normal Backwrds
",X-Ray Record,2018
October,19,"Lil Yachty
","Nuthin' 2 Prove
","Quality Control, Capitol, Motow",2018
October,19,"Odd Ralph
","The Pink Album.
",Self-release,2018
October,23,"RM
","mono.
",Big Hit Entertainmen,2018
October,26,"MihTy
","MihTy
","Def Jam, Atlanti",2018
October,26,"Apollo Brown and Joell Ortiz
","Mona Lisa
",Mello Music Grou,2018
October,26,"Joji
","Ballads 1
",88risin,2018
October,26,"MadeinTYO
","Sincerely, Tokyo
",Private Clu,2018
October,26,"Mick Jenkins
","Pieces of a Man
",Cinemati,2018
October,26,"Money Makin Miitch
","The Epidemic
",Lights Out Ent,2018
October,26,"Shad
","A Short Story About War
",Secret City Record,2018
October,26,"Tory Lanez
","Love Me Now?
","Mad Love, Interscop",2018
October,30,"BlocBoy JB
","Don't Think That
",Bloc Natio,2018
October,31,"Curren$y, Freddie Gibbs and The Alchemist
","Fetti
","Jet Life, ESGN, Empir",2018
October,31,"Cayenne The Lion King
","Unorthonox
",Stakelem Record,2018
October,31,"Kiiba
","MaVERiCKNigHtZ
","Antisocial Club, DS",2018
October,31,"Lef
","Who's Lef
",The Los,2018
October,31,"OG SPLiFF
","HELLRAISER
",steady:hyperactiv,2018
November,1,"Action Bronson
","White Bronco
","Action Bronson Corp, Empir",2018
November,2,"Jay Critch
","Hood Favorite
","Rich Forever, Interscop",2018
November,2,"K Camp
","Rare Sound
","Rare Sound, Interscop",2018
November,2,"Kris Wu
","Antares
","Ace Unit, Interscope, Universal Music China, Go East Musi",2018
November,2,"Metro Boomin
","Not All Heroes Wear Capes
","Boominati, Republi",2018
November,2,"Moneybagg Yo
","Reset
","N-Less, Interscope, Collective, Bread Gan",2018
November,2,"Styles P
","Dime Bag
","Phantom, D-Bloc",2018
November,2,"Swizz Beatz
","Poison
","Swizz Beatz Productions, Epi",2018
November,2,"Takeoff
","The Last Rocket
","Quality Control, Motown, Capito",2018
November,2,"Tha Chill
","4Wit80
",Bump Johnson Inc,2018
November,2,"Vince Staples
","FM!
",Def Ja,2018
November,7,"Wifisfuneral
","Leave Me the Fuck Alone
","Alamo, Interscop",2018
November,8,"Smino
"," Noir
","Zero Fatigue, Downtown Records, Interscop",2018
November,9,"Cupcakke
","Eden
",Self-release,2018
November,9,"Lil Durk
","Signed to the Streets 3
","Only the Family, Alamo, Interscop",2018
November,9,"Lil Peep
","Come Over When You're Sober, Pt. 2
",Columbi,2018
November,9,"Masta Ace and Marco Polo
","A Breukelen Story
",Fat Beat,2018
November,9,"Tee Grizzley
","Still My Moment
","Tee Grizzley, 30",2018
November,9,"Too Short
","The Pimp Tape
","Dangerous Music, Empir",2018
November,9,"Trippie Redd
","A Love Letter to You 3
","TenThousand Projects, Carolin",2018
November,9,"Jay IDK
","IDK & FRIENDS :)
","Self-released, HXL",2018
November,14,"Warhol.SS
","Chest Pains
","Warhol.ss, Empir",2018
November,15,"Leikeli47
","Acrylic
","Hardcover, RC",2018
November,16,"2 Chainz
","Hot Wings Are a Girl's Best Friend
","Gamebread, Def Ja",2018
November,16,"24hrs
","Houses on the Hill
","Private Club, Commission Music, BMG Right",2018
November,16,"88Glam
","88Glam 2
","XO, Republi",2018
November,16,"Anderson .Paak
","Oxnard
","Aftermath, 12 Tone Musi",2018
November,16,"Big K.R.I.T.
","Thrice X
","Multi Alumni, BM",2018
November,16,"Birdman and Jacquees
","Lost at Sea 2
",Cash Mone,2018
November,16,"City Girls
","Girl Code
","Quality Control Music, Motown Records, Capitol Record",2018
November,16,"Fatboy SSE
","Boobie from the Block
","FatboyGang, EMPIR",2018
November,16,"Jerrod
","FADE
",SOYO,2018
November,16,"Lil Gotit
","Hood Baby
",Alam,2018
November,16,"Mike Will Made It
","Creed II: The Album
","Ear Drummers, Interscop",2018
November,16,"Yella Beezy
","Ain't No Going Back
",Pressplay Entertainment Grou,2018
November,16,"Kirk Knight
","IIWII
","Pro Era, LLC",2018
November,16,"Z-Ro
","Sadism
","1 Deep Entertainment, Empir",2018
November,17,"Jaden Smith
","The Sunset Tapes: A Cool Tape Story
","MSFTS Music, Roc Natio",2018
November,22,"Afrogoat
","Afromance
",Steady:Hyperactive Record,2018
November,22,"Boosie Badazz
","Boosie Blues Cafe
",Badazz Music Syndicat,2018
November,22,"J.R. Writer, Hell Rell and 40 Cal.
","The Upstage
","JR Writer, Vydi",2018
November,22,"Kollision
","Not for Nothing
","Quality Control, Feed the Famil",2018
November,22,"The Diplomats
","Diplomatic Ties
","Set Life, Empir",2018
November,23,"Aztek the Barfly
","Line King
",Middle Finger Musi,2018
November,23,"Benny the Butcher
","Tana Talk 3
","Griselda Records, Empir",2018
November,23,"Key Glock
","Glockoma
",Paper Route Empir,2018
November,23,"Paul Wall
","Frozen Face, Vol. 1
",Oiler Mobb En,2018
November,23,"Statik Selektah and Termanology
","Still 1982
","ST. Records, Showoff Record",2018
November,23,"Willie the Kid
","Studio 28
",The Fl,2018
November,26,"Black Thought and Salaam Remi
","Streams of Thought, Vol. 2
","Passyunk Productions, Human Re Source",2018
November,26,"JID
","DiCaprio 2
","Dreamville, Interscop",2018
November,27,"6ix9ine
","Dummy Boy
","ScumGang, TenThousand Project",2018
November,29,"Larry June
","Very Peaceful
",The Freeminde,2018
November,30,"Earl Sweatshirt
","Some Rap Songs
","Tan Cressida, Columbi",2018
November,30,"Ghostface Killah
","Ghost Files - Bronze Tape
",X-Ray Record,2018
November,30,"Lil Baby
","Street Gossip
","Quality Control, Motown, Capitol, Wolfpack, 4 Pockets Ful",2018
November,30,"Meek Mill
","Championships
","Dream Chasers, Maybach, Atlanti",2018
November,30,"Peewee Longway
","State of the Art
","MPA Bandcamp, Empir",2018
November,30,"Problem
","S2
","Diamond Lane Music Group, Rostru",2018
November,30,"Ski Mask the Slump God
","Stokeley
","Victor Victor, Republi",2018
November,30,"Skinnyfromthe9
","It's an Evil World
",Hitc,2018
November,30,"The Alchemist
","Bread
","ALC, Empir",2018
November,30,"Necro
","The Notorious Goriest
",Psychological Record,2018
December,4,"Rob Sonic
","Defriender
",SKYPIMPS MUSI,2018
December,7,"Domo Genesis
","Facade Records EP
","Genesis Music, Empir",2018
December,7,"Gucci Mane
","Evil Genius
","GUWOP, Atlanti",2018
December,7,"Philthy Rich
","Fake Love
","SCMMLLC, EMPIR",2018
December,7,"Ice Cube
","Everythang's Corrupt
","Lench Mob Records, Interscop",2018
December,7,"Token
","Between Somewhere
",eOn,2018
December,7,"XXXTentacion
","Skins
","Bad Vibes Forever, Empir",2018
December,10,"Jehuniko
","Paradise Island
",Self-release,2018
December,14,"Kodak Black
","Dying to Live
","Dollaz N Dealz, Sniper Gang, Atlanti",2018
December,14,"Method Man
","Meth Lab Season 2: The Lithium
",Hanz On Music Entertainmen,2018
December,14,"Vic Mensa
","Hooligans
",Roc Natio,2018
December,14,"Various Artists
","Spider-Man: Into the Spider-Verse(Original Soundtrack)
",Republi,2018
December,19,"Chris Webby
","Next Wednesday
",EightyH,2018
December,20,"YoungBoy Never Broke Again
","Realer
",Never Broke Agai,2018
December,20,"MIKE
","War In My Pen
",10,2018
December,20,"21 Savage
","I Am > I Was
","Epic, Slaughter Gan",2018
December,20,"A Boogie Wit da Hoodie
","Hoodie SZN
",Highbridge The Labe,2018
December,20,"Young Scooter
","The Recipe
","Black Migo Gang, Freebandz, 1017 Brick Squa",2018
December,26,"Cormega
","Mega EP
","Aura, Red Line Music Distributio",2018
December,28,"Bang Belushi
","The Adventures of Bang Belushi
",Middle Finger Musi,2018
January,4,"Pink Guy
","Pink Season
",Pink Record,2017
January,6,"Jipsta
","Ban2oozle
",Bandoozle Beat,2017
January,6,"No Limit Boys
","We All We Got
",No Limit Forever Record,2017
January,6,"Substantial
","The Past Is Always Present in the Future
",Hipnott Record,2017
January,6,"8
","Stitches
",Cocaine Holida,2017
January,6,"12
","Bones
",Disgrac,2017
January,6,"13
","Chief Keef
",Two Zero One Seve,2017
January,6,"PnB Rock
","GTTM: Going Thru the Motions
","Atlantic Records, Empire Distributio",2017
January,6,"Social Club Misfits
","The Misadventures of Fern & Marty
",Capitol CM,2017
January,6,"TriState & Oh No
","3 Dimensional Prescriptions
",Hieroglyphics Imperium Recording,2017
January,6,"Wiley
","Godfather
",Self-release,2017
January,6,"Yukmouth
","JJ Based on Vill Story
","Smoke-a-Lot Records, Empire Distributio",2017
January,18,"Alex Wiley & Mike Gao
","Village Party III: Stoner Symphony
",Self-release,2017
January,20,"Cardi B
","Gangsta Bitch Music, Vol. 2
",KSR Grou,2017
January,20,"Dyme-A-Duzin
","Ghetto Olympics
",Focus Or Fold Musi,2017
January,20,"Fredo Santana
","Plugged In
",RBC Record,2017
January,20,"Problem
","Chachiville
",Diamond Lane Music Grou,2017
January,20,"Prodigy
","Hegelian Dialectic (The Book of Revelation)
",Infamous Record,2017
January,20,"27
","Agallah & Duke WestLake
",3-Day Theor,2017
January,20,"Boldy James
","The Art of Rock Climbing
",Mass Appeal Record,2017
January,20,"Eric Biddines
","The Local Cafe
","Juggernaut Sound Productions, Empire Distributio",2017
January,20,"M-Dot
","Ego and the Enemy
",Own Lane Musi,2017
January,20,"Matt Martians
","The Drum Chord Theory
",Three Quarte,2017
January,20,"Migos
","Culture
","Quality Control Music, 300 Entertainmen",2017
January,20,"Mozzy
","Fake Famous
","Mozzy Records, Empire Distributio",2017
January,20,"New Gen
","New Gen
",XL Recording,2017
January,20,"P.O.S
","Chill, Dummy
",Doomtree Record,2017
January,20,"Bang Belushi
","Help Yourself
",Self-release,2017
January,20,"Twiztid
","The Continuous Evilution of Life's ?'s
",Majik Ninja Entertainmen,2017
January,28,"Bishop Nehru
","Nehruvia
",Nehruvia LL,2017
January,28,"30
","Riff Raff & DJ Afterthought
",Aquaberry Aquariu,2017
January,31,"Denmark Vessey x Azarias x DRXQUINNX
","Doppelganger
",Ether Jun,2017
February,3,"Big Sean
","I Decided.
","GOOD Music, Def Jam Recording",2017
February,3,"Iamsu!
","Boss Up
",Eyes on M,2017
February,3,"Lil Reese
","Better Days
",RBC Record,2017
February,3,"Kirk Knight
","Black Noise
","Pro Era Records, Cinematic Music Grou",2017
February,3,"Paul Wall & C Stone
","Diamond Boyz
",Paul Wall Musi,2017
February,3,"Slim Thug
","Welcome 2 Houston
","Hogg Life Entertainment, SoSouth Musi",2017
February,3,"Swifty McVay
","Grey Blood
",Arsonal Vision Entertainmen,2017
February,3,"Syd
","Fin
","The Internet, Columbia Records, Sony Musi",2017
February,3,"Wyclef Jean
","J'ouvert
","Heads Music, Entertainment One Musi",2017
February,3,"Young Dolph
","Gelato
",Paper Route Empir,2017
February,7,"Planet Asia
","Velour Portraits
",Sovanna Yu,2017
February,10,"Ces Cru
","Catastrophic Event Specialists
",Strange Musi,2017
February,10,"Clyde Carson
","S.T.S.A. 2 (Something to Speak About)
","Moe Doe Entertainment, Empire Distributio",2017
February,10,"Devlin
","The Devil In
",Devlin Musi,2017
February,10,"Fly Guy Entertainment
","No Surrender, No Retreat
",Fly Guy Entertainmen,2017
February,10,"Larry June
","Larry Two
",Warner Bros. Record,2017
February,10,"Lupe Fiasco
","Drogas Light
",1st & 15th Entertainmen,2017
February,10,"Mr. Criminal
","Palm Trees and Sunsets
",Crime Family Entertainmen,2017
February,10,"Nines
","One Foot Out
",XL Recording,2017
February,10,"Quelle Chris
","Being You Is Great, I Wish I Could Be You More Often
",Mello Music Grou,2017
February,10,"Siya
","Commitment
",R&B Money LL,2017
February,10,"Thundamentals
","Everyone We Know
","High Depth, Island Records Australia, Universal Music Australi",2017
February,10,"Two-9
","FRVR
","Ear Drummers Entertainment, Interscope Record",2017
February,10,"Westside Gunn
","Riots on Fashion Avenue
","Effiscienz, Modula",2017
February,10,"12
","Ralo
",Famerican Gangster I,2017
February,10,"13
","Lucky Luciano
",2017 Reason,2017
February,10,"14
","Mickey Avalon
",Teardrops on My Tombston,2017
February,10,"Moneybagg Yo
","Heartless
",Be Great Music Grou,2017
February,10,"Tef Poe
","Black Julian
","Footklan Music Group, Stretched Out Managemen",2017
February,10,"16
","Starlito
",Manifest Destin,2017
February,10,"17
","Celly Cel
",Dirty Min,2017
February,10,"Fat Joe & Remy Ma
","Plata O Plomo
","RNG, Empire Distributio",2017
February,10,"Future
","Future
","A1 Recordings, Freebandz, Epic Record",2017
February,10,"Jidenna
","The Chief
","Epic Records, Sony Musi",2017
February,10,"Jonwayne
","Rap Album Two
","Authors Recording Company, The Order Labe",2017
February,10,"Saga & Thelonious Martin
","Molotov
","Saga 718, Empire Distributio",2017
February,21,"Paper Tiger
","In Other Words: Part Three
",Doomtree Record,2017
February,21,"Roc Marciano
","Rosebudd's Revenge
",Marci Enterprise,2017
February,21,"Wise Intelligent
","TheBlueKluxKlan
",Self-release,2017
February,22,"Berner & Blaze1
","Packboys
",Blaze One Record,2017
February,22,"Boldy James
","House of Blues
",Mass Appeal Record,2017
February,24,"Future
","Hndrxx
","A1 Recordings, Freebandz, Epic Record",2017
February,24,"Horrorshow
","Bardo State
",Elefant Trak,2017
February,24,"Karriem Riggins
","Headnod Suite
",Stones Throw Record,2017
February,24,"Messy Marv
","Still Marked for Death: Vol. 1 (Recorded Live from Prison)
",Champland LL,2017
February,24,"Mr. Capone-E
","Gangster Love
",Hi-Power Entertainmen,2017
February,24,"Nav
","Nav
","XO Records, Republic Record",2017
February,24,"Oddisee
","The Iceberg
",Mello Music Grou,2017
February,24,"Stormzy
","Gang Signs & Prayer
",Merky Record,2017
February,24,"Taelor Gray
","In The Way of Me
",Self-release,2017
February,24,"Taylor Bennett
","Restoration of an American Idol
",Tay Bennett Entertainmen,2017
February,24,"THEY.
","Nü Religion: Hyena
","Mind of a Genius Records, Warner Bros. Record",2017
February,24,"25
","Theory Hazit
",I See What You Did Ther,2017
February,28,"Onry Ozzborn
","C V P ii D
",Self-release,2017
March,1,"Lil Durk
","Love Songs for the Streets
",Only The Family Entertainmen,2017
March,1,"3
","Delinquent Habits
",It Could Be Round Tw,2017
March,1,"Lil Debbie
","XXIII
",Barong Famil,2017
March,1,"Nnamdi Ogbonnaya
","Drool
","Sooper Records, Father/Daughter Record",2017
March,1,"Various artists
","Def Jam Presents: Direct Deposit, Vol. 2
",Def Jam Recording,2017
March,7,"Hurricane Chris
","King Cane
",CD Enterpris,2017
March,7,"Positive K & Greg Nice
","Gr8te Mindz
",Brainbus,2017
March,7,"8
","Chris Webby
",Webster's Laboratory I,2017
March,7,"K Camp
","Kiss 4
","Family Ties Entertainment, 4.27 Music Grou",2017
March,7,"Lil Bibby
","FC3 The Epilogue
",Kemosabe Record,2017
March,7,"10
","Asher Roth, Nottz Raw & Travis Barker
",Rawthe,2017
March,7,"Devin the Dude
","Acoustic Levitation
","Coughee Brothaz Enterprise, Empire Distributio",2017
March,7,"J.I.D
","The Never Story
","Dreamville Records, Interscope Record",2017
March,7,"Mod Sun
","Movie
",Rostrum Record,2017
March,7,"Murs
","Captain California
",Strange Musi,2017
March,7,"Page Kennedy
","Torn Pages
",Kennedy Entertainmen,2017
March,7,"Trinidad James & Various artists
","The Force
",Gold Gang Record,2017
March,7,"Young Chris
","The Network 4
",Nicetown Entertainmen,2017
March,7,"Your Old Droog
","Packs
","Droog Recordings, Fat Beats Record",2017
March,7,"14
","Impxct
",One of a Kin,2017
March,7,"Smino
","Blkswn
","Zero Fatigue, Downtown Record",2017
March,15,"Starlito & Don Trip
","Step Brothers Three
","Grind Hard LLC, Empire Distributio",2017
March,17,"The Alchemist
","Rapper's Best Friend 4: An Instrumental Series
",Self-release,2017
March,17,"Apathy
","Dive Medicine, Chapter 1
",Dirty Version Record,2017
March,17,"Fredo
","Get Rich or Get Recalled
",Cake + Custar,2017
March,17,"G Herbo
","Welcome to Fazoland 1.5
","Machine Entertainment Group, 150 Dream Tea",2017
March,17,"Pitbull
","Climate Change
",RCA Record,2017
March,17,"Rick Ross
","Rather You Than Me
","Maybach Music Group, Epic Record",2017
March,18,"Big Mike
","State of Mind
",Self-release,2017
March,18,"Drake
","More Life
","Young Money Entertainment, Cash Money Records, Republic Record",2017
March,24,"Boondox
","The Murder
",Majik Ninja Entertainmen,2017
March,24,"Chuuwee
","Paradiso
",Below System Record,2017
March,24,"Daye Jack
","No Data
",Warner Bros. Record,2017
March,24,"GoldLink
","At What Cost
",RCA Record,2017
March,24,"Juice
","Post Interview
",Self-release,2017
March,24,"Mansionz
","Mansionz
","Bear Trap, Monster Mountain, Island Record",2017
March,24,"Mike WiLL Made It
","Ransom 2
","EarDrummers Records, Interscope Record",2017
March,24,"Raekwon
","The Wild
","Ice H20 Records, Empire Distributio",2017
March,24,"Shawty Lo
","Rico
","D4L Records, 300 Entertainmen",2017
March,24,"Troy Ave
","Dope Boy Troy
",BSB Record,2017
March,24,"Turk
","Numbskull
",PAC Sound Production,2017
March,24,"30
","Amir Obè
",None of The Clocks Wor,2017
March,24,"J. Stalin
","I Don't Sell Dope No Moe
",Livewire Record,2017
March,24,"31
","3D Na'Tee
","Songs That Didn't Make The Tape, Vol. ",2017
March,24,"50 Cent
","Best Of
","Shady Records, Aftermath Entertainment, Interscope Record",2017
March,24,"Cupcakke
","Queen Elizabitch
",Self-release,2017
March,24,"Freddie Gibbs
","You Only Live 2wice
","ESGN Records, Empire Distributio",2017
March,24,"G-Eazy & DJ Carnage
","Step Brothers
",RCA Record,2017
March,24,"Homeboy Sandman
","Veins
",Stones Throw Record,2017
March,24,"Kodak Black
","Painting Pictures
",Atlantic Record,2017
March,24,"Locksmith
","Olive Branch
",Landmark Entertainment Grou,2017
March,24,"Mr. Envi'
","All Nite Grind
",Southern Stisles Record,2017
April,1,"Young Dolph
","Bulletproof
",Paper Route Empir,2017
April,3,"YFN Lucci
","Long Live Nut
",Think It's A Game Record,2017
April,4,"Killa Kyleon
","Lorraine Motel
",RBC Record,2017
April,4,"7
","Abstract Rude & DJ Vadim
",The Owl's Cr,2017
April,4,"Allan Kingdom
","Lines
","So Cold Records, Empire Distributio",2017
April,4,"Joey Badass
","All-Amerikkkan Badass
","Pro Era Records, Cinematic Music Grou",2017
April,4,"Spit Syndicate
","One Good Shirt Had Us All Fly
","One Day Entertainment, Inertia Musi",2017
April,4,"Tech N9ne
","Dominion
","Strange Music, In",2017
April,4,"Tee Grizzley
","My Moment
",300 Entertainmen,2017
April,13,"Jae Millz
","Lenox Ave Legend
",Ether Boy Record,2017
April,13,"14
","IshDARR
",Four the Better E,2017
April,13,"Kap G
","SupaJefe
",Atlantic Record,2017
April,13,"Kendrick Lamar
","DAMN.
","Top Dawg Entertainment, Aftermath Entertainment, Interscope Record",2017
April,13,"Nappy Roots
","Another 40 Akerz
",Not Regular Record,2017
April,13,"Playboi Carti
","Playboi Carti
","AWGE, Interscope Record",2017
April,13,"The R.O.C.
","Digital Voodoo
",Majik Ninja Entertainmen,2017
April,13,"Rich Homie Quan
","Back to the Basics
","RAIS, Motown Record",2017
April,13,"Ronald Jenkees
","Rhodes Deep
",Self-release,2017
April,13,"Sadistik
","Altars
",Equal Vision Record,2017
April,13,"Talib Kweli & Styles P
","The Seven
",Javotti Medi,2017
April,13,"Tinie Tempah
","Youth
","Disturbing London Records, Parlophone Record",2017
April,13,"Various artists
","The Fate of the Furious: The Album
",Atlantic Record,2017
April,17,"Troy Ave
","NuPac
",BSB Record,2017
April,17,"20
","Bones
",Unrendere,2017
April,17,"DJ Quik & Problem
","Rosecrans
","Diamond Lane Music Group, Blake Enterprise",2017
April,17,"Merkules
","Trust Your Gut
",Merkules Musi,2017
April,21,"Allday
","Speeding
",ONETWO Record,2017
April,21,"Berner
","Sleepwalking
",Bern One Entertainmen,2017
April,21,"David Dallas
","Hood Country Club
",Mean As Musi,2017
April,21,"Iamsu!
","Boss Up 2
",Eyes On Me LL,2017
April,21,"JellyRoll
","Addiction Kills
",Self-release,2017
April,21,"Stro
","Grade a Frequencies
",Grade a Tribe Record,2017
April,21,"T-Wayne
","Forever Rickey
","Unauthorized Entertainment, 300 Entertainmen",2017
April,21,"Ruff Ryders
","Past Present Future
",Ruff Ryders Entertainmen,2017
April,21,"Yukmouth
","JJ Based on a Vill Story Two
","Smoke-A-Lot Records, Empire Distributio",2017
April,27,"Young M.A
","Herstory
","M.A. Music, 3",2017
April,28,"Bliss n Eso
","Off the Grid
",Illusive Sound,2017
April,28,"Czarface
","First Weapon Drawn
",Silver Ag,2017
April,28,"Gorillaz
","Humanz
",Parlophone Record,2017
April,28,"Lady Leshurr
","Mode
",Sony Music Entertainmen,2017
April,28,"Messy Marv
","Still Marked for Death: Vol. 2 (Recorded Live from Prison)
",Champland LL,2017
